ScanNumber	ScanTypeName	ScanType
426	CID-MSn	2
427	CID-MSn	2
428	CID-MSn	2
429	HMS	1
430	CID-MSn	2
431	CID-MSn	2
432	CID-MSn	2
433	HMS	1
434	CID-MSn	2
435	CID-MSn	2
436	CID-MSn	2
437	HMS	1
438	CID-MSn	2
439	CID-MSn	2
440	CID-MSn	2
441	HMS	1
442	CID-MSn	2
443	CID-MSn	2
444	CID-MSn	2
445	HMS	1
446	CID-MSn	2
447	CID-MSn	2
448	CID-MSn	2
449	HMS	1
450	CID-MSn	2
451	CID-MSn	2
452	CID-MSn	2
453	HMS	1
454	CID-MSn	2
455	CID-MSn	2
456	CID-MSn	2
457	HMS	1
458	CID-MSn	2
459	CID-MSn	2
460	CID-MSn	2
461	HMS	1
462	CID-MSn	2
463	CID-MSn	2
464	CID-MSn	2
465	HMS	1
466	CID-MSn	2
467	CID-MSn	2
468	CID-MSn	2
469	HMS	1
470	CID-MSn	2
471	CID-MSn	2
472	CID-MSn	2
473	HMS	1
474	CID-MSn	2
475	CID-MSn	2
476	CID-MSn	2
477	HMS	1
478	CID-MSn	2
479	CID-MSn	2
480	CID-MSn	2
481	HMS	1
482	CID-MSn	2
483	CID-MSn	2
484	CID-MSn	2
485	HMS	1
486	CID-MSn	2
487	CID-MSn	2
488	CID-MSn	2
489	HMS	1
490	CID-MSn	2
491	CID-MSn	2
492	CID-MSn	2
493	HMS	1
494	CID-MSn	2
495	CID-MSn	2
496	CID-MSn	2
497	HMS	1
498	CID-MSn	2
499	CID-MSn	2
500	CID-MSn	2
501	HMS	1
502	CID-MSn	2
503	CID-MSn	2
504	CID-MSn	2
505	HMS	1
506	CID-MSn	2
507	CID-MSn	2
508	CID-MSn	2
509	HMS	1
510	CID-MSn	2
511	CID-MSn	2
512	CID-MSn	2
513	HMS	1
514	CID-MSn	2
515	CID-MSn	2
516	CID-MSn	2
517	HMS	1
518	CID-MSn	2
519	CID-MSn	2
520	CID-MSn	2
521	HMS	1
522	CID-MSn	2
523	CID-MSn	2
524	CID-MSn	2
525	HMS	1
526	CID-MSn	2
527	CID-MSn	2
528	CID-MSn	2
529	HMS	1
530	CID-MSn	2
531	CID-MSn	2
532	CID-MSn	2
533	HMS	1
534	CID-MSn	2
535	CID-MSn	2
536	CID-MSn	2
537	HMS	1
538	CID-MSn	2
539	CID-MSn	2
540	CID-MSn	2
541	HMS	1
542	CID-MSn	2
543	CID-MSn	2
544	CID-MSn	2
545	HMS	1
546	CID-MSn	2
547	CID-MSn	2
548	CID-MSn	2
549	HMS	1
550	CID-MSn	2
551	CID-MSn	2
552	CID-MSn	2
553	HMS	1
554	CID-MSn	2
555	CID-MSn	2
556	CID-MSn	2
557	HMS	1
558	CID-MSn	2
559	CID-MSn	2
560	CID-MSn	2
561	HMS	1
562	CID-MSn	2
563	CID-MSn	2
564	CID-MSn	2
565	HMS	1
566	CID-MSn	2
567	CID-MSn	2
568	CID-MSn	2
569	HMS	1
570	CID-MSn	2
571	CID-MSn	2
572	CID-MSn	2
573	HMS	1
574	CID-MSn	2
575	CID-MSn	2
576	CID-MSn	2
577	HMS	1
578	CID-MSn	2
579	CID-MSn	2
580	CID-MSn	2
581	HMS	1
582	CID-MSn	2
583	CID-MSn	2
584	CID-MSn	2
585	HMS	1
586	CID-MSn	2
587	CID-MSn	2
588	CID-MSn	2
589	HMS	1
590	CID-MSn	2
591	CID-MSn	2
592	CID-MSn	2
593	HMS	1
594	CID-MSn	2
595	CID-MSn	2
596	CID-MSn	2
597	HMS	1
598	CID-MSn	2
599	CID-MSn	2
600	CID-MSn	2
601	HMS	1
602	CID-MSn	2
603	CID-MSn	2
604	CID-MSn	2
605	HMS	1
606	CID-MSn	2
607	CID-MSn	2
608	CID-MSn	2
609	HMS	1
610	CID-MSn	2
611	CID-MSn	2
612	CID-MSn	2
613	HMS	1
614	CID-MSn	2
615	CID-MSn	2
616	CID-MSn	2
617	HMS	1
618	CID-MSn	2
619	CID-MSn	2
620	CID-MSn	2
621	HMS	1
622	CID-MSn	2
623	CID-MSn	2
624	CID-MSn	2
625	HMS	1
626	CID-MSn	2
627	CID-MSn	2
628	CID-MSn	2
629	HMS	1
630	CID-MSn	2
631	CID-MSn	2
632	CID-MSn	2
633	HMS	1
634	CID-MSn	2
635	CID-MSn	2
636	CID-MSn	2
637	HMS	1
638	CID-MSn	2
639	CID-MSn	2
640	CID-MSn	2
641	HMS	1
642	CID-MSn	2
643	CID-MSn	2
644	CID-MSn	2
645	HMS	1
646	CID-MSn	2
647	CID-MSn	2
648	CID-MSn	2
649	HMS	1
650	CID-MSn	2
651	CID-MSn	2
652	CID-MSn	2
653	HMS	1
654	CID-MSn	2
655	CID-MSn	2
656	CID-MSn	2
657	HMS	1
658	CID-MSn	2
659	CID-MSn	2
660	CID-MSn	2
661	HMS	1
662	CID-MSn	2
663	CID-MSn	2
664	CID-MSn	2
665	HMS	1
666	CID-MSn	2
667	CID-MSn	2
668	CID-MSn	2
669	HMS	1
670	CID-MSn	2
671	CID-MSn	2
672	CID-MSn	2
673	HMS	1
674	CID-MSn	2
675	CID-MSn	2
676	CID-MSn	2
677	HMS	1
678	CID-MSn	2
679	CID-MSn	2
680	CID-MSn	2
681	HMS	1
682	CID-MSn	2
683	CID-MSn	2
684	CID-MSn	2
685	HMS	1
686	CID-MSn	2
687	CID-MSn	2
688	CID-MSn	2
689	HMS	1
690	CID-MSn	2
691	CID-MSn	2
692	CID-MSn	2
693	HMS	1
694	CID-MSn	2
695	CID-MSn	2
696	CID-MSn	2
697	HMS	1
698	CID-MSn	2
699	CID-MSn	2
700	CID-MSn	2
701	HMS	1
702	CID-MSn	2
703	CID-MSn	2
704	CID-MSn	2
705	HMS	1
706	CID-MSn	2
707	CID-MSn	2
708	CID-MSn	2
709	HMS	1
710	CID-MSn	2
711	CID-MSn	2
712	CID-MSn	2
713	HMS	1
714	CID-MSn	2
715	CID-MSn	2
716	CID-MSn	2
717	HMS	1
718	CID-MSn	2
719	CID-MSn	2
720	CID-MSn	2
721	HMS	1
722	CID-MSn	2
723	CID-MSn	2
724	CID-MSn	2
725	HMS	1
726	CID-MSn	2
727	CID-MSn	2
728	CID-MSn	2
729	HMS	1
730	CID-MSn	2
731	CID-MSn	2
732	CID-MSn	2
733	HMS	1
734	CID-MSn	2
735	CID-MSn	2
736	CID-MSn	2
737	HMS	1
738	CID-MSn	2
739	CID-MSn	2
740	CID-MSn	2
741	HMS	1
742	CID-MSn	2
743	CID-MSn	2
744	CID-MSn	2
745	HMS	1
746	CID-MSn	2
747	CID-MSn	2
748	CID-MSn	2
749	HMS	1
750	CID-MSn	2
751	CID-MSn	2
752	CID-MSn	2
753	HMS	1
754	CID-MSn	2
755	CID-MSn	2
756	CID-MSn	2
757	HMS	1
758	CID-MSn	2
759	CID-MSn	2
760	CID-MSn	2
761	HMS	1
762	CID-MSn	2
763	CID-MSn	2
764	CID-MSn	2
765	HMS	1
766	CID-MSn	2
767	CID-MSn	2
768	CID-MSn	2
769	HMS	1
770	CID-MSn	2
771	CID-MSn	2
772	CID-MSn	2
773	HMS	1
774	CID-MSn	2
775	CID-MSn	2
776	CID-MSn	2
777	HMS	1
778	CID-MSn	2
779	CID-MSn	2
780	CID-MSn	2
781	HMS	1
782	CID-MSn	2
783	CID-MSn	2
784	CID-MSn	2
785	HMS	1
786	CID-MSn	2
787	CID-MSn	2
788	CID-MSn	2
789	HMS	1
790	CID-MSn	2
791	CID-MSn	2
792	CID-MSn	2
793	HMS	1
794	CID-MSn	2
795	CID-MSn	2
796	CID-MSn	2
797	HMS	1
798	CID-MSn	2
799	CID-MSn	2
800	CID-MSn	2
801	HMS	1
802	CID-MSn	2
803	CID-MSn	2
804	CID-MSn	2
805	HMS	1
806	CID-MSn	2
807	CID-MSn	2
808	CID-MSn	2
809	HMS	1
810	CID-MSn	2
811	CID-MSn	2
812	CID-MSn	2
813	HMS	1
814	CID-MSn	2
815	CID-MSn	2
816	CID-MSn	2
817	HMS	1
818	CID-MSn	2
819	CID-MSn	2
820	CID-MSn	2
821	HMS	1
822	CID-MSn	2
823	CID-MSn	2
824	CID-MSn	2
825	HMS	1
826	CID-MSn	2
827	CID-MSn	2
828	CID-MSn	2
829	HMS	1
830	CID-MSn	2
831	CID-MSn	2
832	CID-MSn	2
833	HMS	1
834	CID-MSn	2
835	CID-MSn	2
836	CID-MSn	2
837	HMS	1
838	CID-MSn	2
839	CID-MSn	2
840	CID-MSn	2
841	HMS	1
842	CID-MSn	2
843	CID-MSn	2
844	CID-MSn	2
845	HMS	1
846	CID-MSn	2
847	CID-MSn	2
848	CID-MSn	2
849	HMS	1
850	CID-MSn	2
851	CID-MSn	2
852	CID-MSn	2
853	HMS	1
854	CID-MSn	2
855	CID-MSn	2
856	CID-MSn	2
857	HMS	1
858	CID-MSn	2
859	CID-MSn	2
860	CID-MSn	2
861	HMS	1
862	CID-MSn	2
863	CID-MSn	2
864	CID-MSn	2
865	HMS	1
866	CID-MSn	2
867	CID-MSn	2
868	CID-MSn	2
869	HMS	1
870	CID-MSn	2
871	CID-MSn	2
872	CID-MSn	2
873	HMS	1
874	CID-MSn	2
875	CID-MSn	2
876	CID-MSn	2
877	HMS	1
878	CID-MSn	2
879	CID-MSn	2
880	CID-MSn	2
881	HMS	1
882	CID-MSn	2
883	CID-MSn	2
884	CID-MSn	2
885	HMS	1
886	CID-MSn	2
887	CID-MSn	2
888	CID-MSn	2
889	HMS	1
890	CID-MSn	2
891	CID-MSn	2
892	CID-MSn	2
893	HMS	1
894	CID-MSn	2
895	CID-MSn	2
896	CID-MSn	2
897	HMS	1
898	CID-MSn	2
899	CID-MSn	2
900	CID-MSn	2
901	HMS	1
902	CID-MSn	2
903	CID-MSn	2
904	CID-MSn	2
905	HMS	1
906	CID-MSn	2
907	CID-MSn	2
908	CID-MSn	2
909	HMS	1
910	CID-MSn	2
911	CID-MSn	2
912	CID-MSn	2
913	HMS	1
914	CID-MSn	2
915	CID-MSn	2
916	CID-MSn	2
917	HMS	1
918	CID-MSn	2
919	CID-MSn	2
920	CID-MSn	2
921	HMS	1
922	CID-MSn	2
923	CID-MSn	2
924	CID-MSn	2
925	HMS	1
926	CID-MSn	2
927	CID-MSn	2
928	CID-MSn	2
929	HMS	1
930	CID-MSn	2
931	CID-MSn	2
932	CID-MSn	2
933	HMS	1
934	CID-MSn	2
935	CID-MSn	2
936	CID-MSn	2
937	HMS	1
938	CID-MSn	2
939	CID-MSn	2
940	CID-MSn	2
941	HMS	1
942	CID-MSn	2
943	CID-MSn	2
944	CID-MSn	2
945	HMS	1
946	CID-MSn	2
947	CID-MSn	2
948	CID-MSn	2
949	HMS	1
950	CID-MSn	2
951	CID-MSn	2
952	CID-MSn	2
953	HMS	1
954	CID-MSn	2
955	CID-MSn	2
956	CID-MSn	2
957	HMS	1
958	CID-MSn	2
959	CID-MSn	2
960	CID-MSn	2
961	HMS	1
962	CID-MSn	2
963	CID-MSn	2
964	CID-MSn	2
965	HMS	1
966	CID-MSn	2
967	CID-MSn	2
968	CID-MSn	2
969	HMS	1
970	CID-MSn	2
971	CID-MSn	2
972	CID-MSn	2
973	HMS	1
974	CID-MSn	2
975	CID-MSn	2
976	CID-MSn	2
977	HMS	1
978	CID-MSn	2
979	CID-MSn	2
980	CID-MSn	2
981	HMS	1
982	CID-MSn	2
983	CID-MSn	2
984	CID-MSn	2
985	HMS	1
986	CID-MSn	2
987	CID-MSn	2
988	CID-MSn	2
989	HMS	1
990	CID-MSn	2
991	CID-MSn	2
992	CID-MSn	2
993	HMS	1
994	CID-MSn	2
995	CID-MSn	2
996	CID-MSn	2
997	HMS	1
998	CID-MSn	2
999	CID-MSn	2
1000	CID-MSn	2
1001	HMS	1
1002	CID-MSn	2
1003	CID-MSn	2
1004	CID-MSn	2
1005	HMS	1
1006	CID-MSn	2
1007	CID-MSn	2
1008	CID-MSn	2
1009	HMS	1
1010	CID-MSn	2
1011	CID-MSn	2
1012	CID-MSn	2
1013	HMS	1
1014	CID-MSn	2
1015	CID-MSn	2
1016	CID-MSn	2
1017	HMS	1
1018	CID-MSn	2
1019	CID-MSn	2
1020	CID-MSn	2
1021	HMS	1
1022	CID-MSn	2
1023	CID-MSn	2
1024	CID-MSn	2
1025	HMS	1
1026	CID-MSn	2
1027	CID-MSn	2
1028	CID-MSn	2
1029	HMS	1
1030	CID-MSn	2
1031	CID-MSn	2
1032	CID-MSn	2
1033	HMS	1
1034	CID-MSn	2
1035	CID-MSn	2
1036	CID-MSn	2
