Date	Type	Message
2017-02-14 09:42:24 PM	Normal	Filtering Concatenated File: 116000 spectra processed (87.0% complete)
2017-02-14 09:42:24 PM	Normal	Filtering Concatenated File: 117000 spectra processed (87.0% complete)
2017-02-14 09:42:24 PM	Normal	Filtering Concatenated File: 118000 spectra processed (88.0% complete)
2017-02-14 09:42:25 PM	Normal	Filtering Concatenated File: 119000 spectra processed (89.0% complete)
2017-02-14 09:42:25 PM	Normal	Filtering Concatenated File: 120000 spectra processed (89.0% complete)
2017-02-14 09:42:25 PM	Normal	Filtering Concatenated File: 121000 spectra processed (90.0% complete)
2017-02-14 09:42:26 PM	Normal	Filtering Concatenated File: 122000 spectra processed (91.0% complete)
2017-02-14 09:42:26 PM	Normal	Filtering Concatenated File: 123000 spectra processed (92.0% complete)
2017-02-14 09:42:26 PM	Normal	Filtering Concatenated File: 124000 spectra processed (92.0% complete)
2017-02-14 09:42:27 PM	Normal	Filtering Concatenated File: 125000 spectra processed (93.0% complete)
2017-02-14 09:42:27 PM	Normal	Filtering Concatenated File: 126000 spectra processed (94.0% complete)
2017-02-14 09:42:27 PM	Normal	Filtering Concatenated File: 127000 spectra processed (94.0% complete)
2017-02-14 09:42:28 PM	Normal	Filtering Concatenated File: 128000 spectra processed (95.0% complete)
2017-02-14 09:42:28 PM	Normal	Filtering Concatenated File: 129000 spectra processed (95.0% complete)
2017-02-14 09:42:28 PM	Normal	Filtering Concatenated File: 130000 spectra processed (96.0% complete)
2017-02-14 09:42:28 PM	Normal	Filtering Concatenated File: 131000 spectra processed (97.0% complete)
2017-02-14 09:42:29 PM	Normal	Filtering Concatenated File: 132000 spectra processed (97.0% complete)
2017-02-14 09:42:29 PM	Normal	Filtering Concatenated File: 133000 spectra processed (98.0% complete)
2017-02-14 09:42:29 PM	Normal	Filtering Concatenated File: 134000 spectra processed (99.0% complete)
2017-02-14 09:42:30 PM	Normal	Filtering Concatenated File: 135000 spectra processed (99.0% complete)
2017-02-14 09:42:30 PM	Normal	Filtering Concatenated File: 136000 spectra processed (100.0% complete)
2017-02-14 09:42:30 PM	Normal	Processing complete; processed 136310 spectra
2017-02-14 09:42:30 PM	Normal	Spectrum count passing filters: 13494
2017-02-14 09:42:30 PM	Normal	Spectrum count with m/z values removed by ion filtering: 0
