ScanNumber	ScanTime	ScanType	ScanTypeName	PrecursorMz	ScanFilterText
2805	26.8944	2	CID-MSn	374.55	ITMS + c NSI d Full ms2 374.55@cid35.00 [90.00-1135.00]
2806	26.9066	2	CID-MSn	397.57	ITMS + c NSI d Full ms2 397.57@cid35.00 [95.00-1205.00]
2807	26.9189	2	CID-MSn	545.27	ITMS + c NSI d Full ms2 545.27@cid35.00 [140.00-1650.00]
2808	26.932	2	CID-MSn	405.51	ITMS + c NSI d Full ms2 405.51@cid35.00 [100.00-1230.00]
2809	26.9444	2	CID-MSn	587.82	ITMS + c NSI d Full ms2 587.82@cid35.00 [150.00-1190.00]
2810	26.9566	2	CID-MSn	471.25	ITMS + c NSI d Full ms2 471.25@cid35.00 [115.00-1425.00]
2812	26.9753	2	CID-MSn	300.2	ITMS + c NSI d Full ms2 300.20@cid35.00 [70.00-615.00]
2813	26.9808	2	CID-MSn	423.24	ITMS + c NSI d Full ms2 423.24@cid35.00 [105.00-860.00]
2814	26.9891	2	CID-MSn	339.52	ITMS + c NSI d Full ms2 339.52@cid35.00 [80.00-1030.00]
2815	26.9973	2	CID-MSn	573.78	ITMS + c NSI d Full ms2 573.78@cid35.00 [145.00-1160.00]
2816	27.0094	2	CID-MSn	344.53	ITMS + c NSI d Full ms2 344.53@cid35.00 [80.00-1045.00]
2817	27.0214	2	CID-MSn	418.26	ITMS + c NSI d Full ms2 418.26@cid35.00 [105.00-1265.00]
2818	27.0338	2	CID-MSn	441.25	ITMS + c NSI d Full ms2 441.25@cid35.00 [110.00-895.00]
2819	27.0439	2	CID-MSn	508.77	ITMS + c NSI d Full ms2 508.77@cid35.00 [130.00-1030.00]
2820	27.0558	2	CID-MSn	317.5	ITMS + c NSI d Full ms2 317.50@cid35.00 [75.00-965.00]
2821	27.0677	2	CID-MSn	367.55	ITMS + c NSI d Full ms2 367.55@cid35.00 [90.00-1115.00]
2823	27.0861	2	CID-MSn	330.51	ITMS + c NSI d Full ms2 330.51@cid35.00 [80.00-1005.00]
2824	27.0924	2	CID-MSn	303.66	ITMS + c NSI d Full ms2 303.66@cid35.00 [70.00-620.00]
2825	27.0987	2	CID-MSn	392.22	ITMS + c NSI d Full ms2 392.22@cid35.00 [95.00-1190.00]
2826	27.1064	2	CID-MSn	413.56	ITMS + c NSI d Full ms2 413.56@cid35.00 [100.00-1255.00]
2827	27.1163	2	CID-MSn	346.23	ITMS + c NSI d Full ms2 346.23@cid35.00 [85.00-705.00]
2828	27.1276	2	CID-MSn	436.27	ITMS + c NSI d Full ms2 436.27@cid35.00 [110.00-885.00]
2829	27.1393	2	CID-MSn	351.19	ITMS + c NSI d Full ms2 351.19@cid35.00 [85.00-1065.00]
2830	27.1513	2	CID-MSn	489.56	ITMS + c NSI d Full ms2 489.56@cid35.00 [120.00-1480.00]
2831	27.1641	2	CID-MSn	376.23	ITMS + c NSI d Full ms2 376.23@cid35.00 [90.00-765.00]
2832	27.1748	2	CID-MSn	467.28	ITMS + c NSI d Full ms2 467.28@cid35.00 [115.00-945.00]
2834	27.1929	2	CID-MSn	495.27	ITMS + c NSI d Full ms2 495.27@cid35.00 [125.00-1005.00]
2835	27.2003	2	CID-MSn	363.21	ITMS + c NSI d Full ms2 363.21@cid35.00 [85.00-740.00]
2836	27.2102	2	CID-MSn	354.21	ITMS + c NSI d Full ms2 354.21@cid35.00 [85.00-1430.00]
2837	27.2202	2	CID-MSn	420.55	ITMS + c NSI d Full ms2 420.55@cid35.00 [105.00-1275.00]
2838	27.2309	2	CID-MSn	307.52	ITMS + c NSI d Full ms2 307.52@cid35.00 [70.00-935.00]
2839	27.2416	2	CID-MSn	482.8	ITMS + c NSI d Full ms2 482.80@cid35.00 [120.00-980.00]
2840	27.2534	2	CID-MSn	393.86	ITMS + c NSI d Full ms2 393.86@cid35.00 [95.00-1195.00]
2841	27.2657	2	CID-MSn	476.57	ITMS + c NSI d Full ms2 476.57@cid35.00 [120.00-1440.00]
2842	27.2784	2	CID-MSn	570.36	ITMS + c NSI d Full ms2 570.36@cid35.00 [145.00-1155.00]
2843	27.2905	2	CID-MSn	580.34	ITMS + c NSI d Full ms2 580.34@cid35.00 [145.00-1175.00]
2845	27.3089	2	CID-MSn	390.73	ITMS + c NSI d Full ms2 390.73@cid35.00 [95.00-795.00]
2846	27.3141	2	CID-MSn	380.58	ITMS + c NSI d Full ms2 380.58@cid35.00 [90.00-1155.00]
2847	27.3204	2	CID-MSn	431.24	ITMS + c NSI d Full ms2 431.24@cid35.00 [105.00-1305.00]
2848	27.3314	2	CID-MSn	403.55	ITMS + c NSI d Full ms2 403.55@cid35.00 [100.00-1225.00]
2849	27.3438	2	CID-MSn	385.24	ITMS + c NSI d Full ms2 385.24@cid35.00 [95.00-1170.00]
2850	27.3561	2	CID-MSn	310.42	ITMS + c NSI d Full ms2 310.42@cid35.00 [75.00-1255.00]
2851	27.3685	2	CID-MSn	507.79	ITMS + c NSI d Full ms2 507.79@cid35.00 [125.00-1030.00]
2852	27.3804	2	CID-MSn	466.73	ITMS + c NSI d Full ms2 466.73@cid35.00 [115.00-945.00]
2853	27.3921	2	CID-MSn	517.29	ITMS + c NSI d Full ms2 517.29@cid35.00 [130.00-1045.00]
2854	27.404	2	CID-MSn	326.68	ITMS + c NSI d Full ms2 326.68@cid35.00 [75.00-995.00]
2856	27.422	2	CID-MSn	387.75	ITMS + c NSI d Full ms2 387.75@cid35.00 [95.00-790.00]
2857	27.4302	2	CID-MSn	451.26	ITMS + c NSI d Full ms2 451.26@cid35.00 [110.00-915.00]
